Project from 1,Project to 1,Length(KM),Province
Makran Costal Highway                  ,Makran Costal Highway                  ,634,Balochistan
Nauttal,Sibi section including Sibi Bypass      ,86,Balochistan
Dera Allah Yar             ,Nauttal Section                ,60,Balochistan
Khajuri   ,Bewata Section N-70              ,68,Balochistan
Kohat Tunnel and Access Roads                 ,Kohat Tunnel and Access Roads                 ,31,N.W.F.P
Mansehra        ,Naran Section                 ,124,N.W.F.P
D.I.Khan,CRBC (Indus Highway)          ,14,N.W.F.P
Karachi Northern Bypass                   ,Karachi Northern Bypass                   ,57,Sindh
Qazi Ahmed & Shahpur Jehania Road      ,Qazi Ahmed & Shahpur Jehania Road      ,102,Sindh
Ratodero,Shahdadkot-Qubo Saeed Khan    ,64,Sindh
Pindi Bhattian,"Faisalabad Motorway, M-3    ",52,Punjab
Lahore    ,Sahiwal Section                   ,40,Punjab
Okara Bypass                                ,Okara Bypass                                ,13,Punjab
Rahim Yar Khan                ,TMP Section                    ,80,Punjab
Baberlo             ,Pano Aqil Section                  ,30,Sindh
Rehabilitation of Bund Road Lahore         ,Rehabilitation of Bund Road Lahore         ,19,Punjab
Torkham,Jalalabad Road.          ,75,Afghanistan
