Project                                       Length(KM)     Province
Gwadar-Turbat-Hoshab (M-8)                     193           Balochistan
Khuzdar-Shahdadkot Section                      82           Balochistan
Khanozai-Muslim Bagh Section                    50           Balochistan
Kalat-Quetta-Chaman Section                    230           Balochistan
Gawadar-Pleri Section                           67           Balochistan
Sibi-Dhadar Section                             26           Balochistan
Lakpass Tunnel                                0.28           Balochistan
Lyari Expressway                                32           Sindh
Lowari Rail Tunnel and access roads             27           N.W.F.P
Naran-Jhalkhad-Chillas Section                  40           N.W.F.P
Dualization of Takht Bahi-Dargai Road           30           N.W.F.P
D.I.Khan-Mughalkot Section                     124           N.W.F.P
Islamabad-Peshawar Motorway                    152           N.W.F.P/Punjab
Islamabad-Murree Dual Carriageway               43           Punjab
R.Y.Khan-Bahawalpur Section                     90           Punjab
